shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,hotels,attractions,museums,parks,business_centers,residential_buildings,walkability_score,total_pois,lat,lon,point_id,city
44,0,16,1,2,1,13,26,1,1,0,14,9,3,169,353,50.616602065765804,3.060285971936672,Lille_50.616602_3.060286,Lille
41,0,23,1,3,1,14,25,0,2,0,12,5,4,204,393,50.616602065765804,3.063836674703467,Lille_50.616602_3.063837,Lille
43,1,35,1,3,2,19,25,0,2,0,8,9,5,206,420,50.616602065765804,3.0673873774702622,Lille_50.616602_3.067387,Lille
23,1,28,0,2,1,15,28,0,2,0,9,10,6,166,356,50.616602065765804,3.0709380802370574,Lille_50.616602_3.070938,Lille
15,1,23,0,1,2,14,30,0,2,0,6,9,6,151,324,50.616602065765804,3.0744887830038525,Lille_50.616602_3.074489,Lille
12,1,15,0,0,2,11,34,1,1,0,4,8,7,98,285,50.616602065765804,3.0780394857706477,Lille_50.616602_3.078039,Lille
7,0,6,0,0,1,5,28,1,0,0,2,4,6,110,257,50.616602065765804,3.081590188537443,Lille_50.616602_3.081590,Lille
4,0,3,0,0,0,2,13,1,0,0,0,0,3,82,162,50.616602065765804,3.088691594071033,Lille_50.616602_3.088692,Lille
16,0,7,0,1,0,5,27,0,0,0,9,7,3,72,200,50.61885431801806,3.0247789442687205,Lille_50.618854_3.024779,Lille
19,0,7,0,1,1,10,28,0,0,0,9,6,3,105,258,50.61885431801806,3.0283296470355157,Lille_50.618854_3.028330,Lille
24,0,7,0,1,1,11,20,2,0,0,11,3,2,124,282,50.61885431801806,3.031880349802311,Lille_50.618854_3.031880,Lille
22,0,5,0,2,1,12,28,2,0,0,12,3,3,136,300,50.61885431801806,3.035431052569106,Lille_50.618854_3.035431,Lille
30,0,7,0,2,2,12,36,3,0,0,9,7,4,133,306,50.61885431801806,3.038981755335901,Lille_50.618854_3.038982,Lille
39,1,7,1,2,1,14,33,3,0,0,8,9,3,180,369,50.61885431801806,3.0425324581026962,Lille_50.618854_3.042532,Lille
69,1,24,1,3,2,14,35,1,0,0,12,12,3,221,483,50.61885431801806,3.0460831608694914,Lille_50.618854_3.046083,Lille
79,1,32,1,2,2,16,31,2,0,0,12,15,3,211,486,50.61885431801806,3.0496338636362865,Lille_50.618854_3.049634,Lille
81,1,31,1,2,1,14,26,1,0,0,11,10,3,181,437,50.61885431801806,3.0531845664030817,Lille_50.618854_3.053185,Lille
86,0,34,0,2,2,14,26,1,1,0,13,11,4,167,428,50.61885431801806,3.056735269169877,Lille_50.618854_3.056735,Lille
65,0,26,0,2,1,15,24,1,1,0,11,12,5,133,359,50.61885431801806,3.060285971936672,Lille_50.618854_3.060286,Lille
53,0,24,0,3,1,14,18,0,2,1,9,8,5,184,388,50.61885431801806,3.063836674703467,Lille_50.618854_3.063837,Lille
58,1,36,0,3,2,24,21,0,2,1,9,13,6,206,456,50.61885431801806,3.0673873774702622,Lille_50.618854_3.067387,Lille
37,1,30,0,3,1,19,24,1,2,1,10,14,6,169,392,50.61885431801806,3.0709380802370574,Lille_50.618854_3.070938,Lille
22,1,25,0,2,2,17,26,1,2,1,7,13,5,175,370,50.61885431801806,3.0744887830038525,Lille_50.618854_3.074489,Lille
18,1,16,0,1,2,14,34,2,1,0,6,11,7,128,331,50.61885431801806,3.0780394857706477,Lille_50.618854_3.078039,Lille
6,0,5,0,1,1,7,33,2,0,0,2,6,6,139,287,50.61885431801806,3.081590188537443,Lille_50.618854_3.081590,Lille
11,0,9,0,1,1,10,24,1,0,0,1,2,4,141,270,50.61885431801806,3.085140891304238,Lille_50.618854_3.085141,Lille
13,0,6,0,1,0,10,24,1,0,0,0,2,5,107,219,50.61885431801806,3.088691594071033,Lille_50.618854_3.088692,Lille
15,0,5,0,1,0,11,16,0,0,0,1,1,4,114,200,50.61885431801806,3.0922422968378283,Lille_50.618854_3.092242,Lille
17,0,4,0,1,0,10,23,0,0,0,2,2,3,83,179,50.61885431801806,3.0957929996046234,Lille_50.618854_3.095793,Lille
13,0,1,0,1,0,8,30,0,0,0,2,3,4,77,172,50.61885431801806,3.0993437023714185,Lille_50.618854_3.099344,Lille
10,0,1,0,0,0,8,27,0,0,0,3,4,5,98,191,50.61885431801806,3.1028944051382137,Lille_50.618854_3.102894,Lille
9,0,1,0,0,0,8,27,0,0,0,2,4,5,94,174,50.61885431801806,3.106445107905009,Lille_50.618854_3.106445,Lille
10,0,4,0,1,1,8,20,0,0,0,1,4,5,115,191,50.61885431801806,3.109995810671804,Lille_50.618854_3.109996,Lille
17,0,6,0,1,1,5,24,1,0,0,2,3,6,128,215,50.61885431801806,3.1170972162053943,Lille_50.618854_3.117097,Lille
28,0,20,0,1,1,6,40,1,0,0,4,3,7,181,322,50.61885431801806,3.1206479189721894,Lille_50.618854_3.120648,Lille
9,0,4,0,0,0,5,31,0,0,0,7,7,4,77,196,50.621106570270314,3.0247789442687205,Lille_50.621107_3.024779,Lille
16,0,6,0,1,0,10,33,0,0,0,6,7,4,98,240,50.621106570270314,3.0283296470355157,Lille_50.621107_3.028330,Lille
25,0,7,0,1,0,12,30,0,0,0,10,4,3,110,268,50.621106570270314,3.031880349802311,Lille_50.621107_3.031880,Lille
28,0,6,1,3,0,13,35,0,2,0,11,7,3,130,310,50.621106570270314,3.035431052569106,Lille_50.621107_3.035431,Lille
38,0,16,1,4,1,13,39,0,2,0,8,13,2,126,325,50.621106570270314,3.038981755335901,Lille_50.621107_3.038982,Lille
40,0,23,1,4,1,13,35,0,2,1,11,15,1,179,418,50.621106570270314,3.0425324581026962,Lille_50.621107_3.042532,Lille
90,0,43,1,6,3,11,35,0,2,1,12,20,1,230,562,50.621106570270314,3.0460831608694914,Lille_50.621107_3.046083,Lille
95,0,56,0,5,3,11,33,1,0,1,11,22,1,209,544,50.621106570270314,3.0496338636362865,Lille_50.621107_3.049634,Lille
