point_id,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,total_pois,attractiveness_score,competition_score,accessibility_score,suitability_score
Lille_50.614350_3.078039,Lille,50.61434981351355,3.078039485770648,11,2,14,0,1,1,9,32,71,0,1,0,3,4,6,230,7.15,3.74,21.66,44.32
Lille_50.616602_3.024779,Lille,50.61660206576581,3.0247789442687205,18,0,9,0,2,0,5,33,89,0,0,0,9,5,4,225,17.17,1.0,11.57,43.37
Lille_50.616602_3.028330,Lille,50.61660206576581,3.028329647035516,16,0,8,0,1,1,8,33,117,0,0,0,9,9,4,268,16.89,1.0,22.68,45.83
Lille_50.616602_3.031880,Lille,50.61660206576581,3.031880349802311,16,0,7,0,1,2,11,22,140,2,0,0,8,8,4,288,15.23,1.0,31.98,47.58
Lille_50.616602_3.035431,Lille,50.61660206576581,3.035431052569106,12,0,5,0,2,2,12,31,130,2,0,0,9,8,3,278,17.53,1.0,33.69,47.68
Lille_50.616602_3.038982,Lille,50.61660206576581,3.038981755335901,18,0,6,0,2,2,10,35,131,3,0,0,7,12,4,291,15.18,1.0,32.89,48.1
Lille_50.616602_3.042532,Lille,50.61660206576581,3.042532458102696,37,1,10,1,2,1,16,31,192,3,0,0,6,15,3,387,15.22,3.03,30.69,47.65
Lille_50.616602_3.046083,Lille,50.61660206576581,3.0460831608694914,61,1,25,1,3,1,16,30,202,1,0,0,11,14,3,453,24.55,3.92,30.89,48.34
Lille_50.616602_3.049634,Lille,50.61660206576581,3.0496338636362865,63,1,25,1,2,1,16,26,220,2,0,0,11,17,3,465,24.24,3.99,30.91,48.6
Lille_50.616602_3.053185,Lille,50.61660206576581,3.0531845664030817,62,1,24,1,2,1,18,25,211,1,0,0,12,12,2,448,24.87,3.95,31.88,48.29
Lille_50.616602_3.056735,Lille,50.61660206576581,3.056735269169877,63,0,26,1,2,2,16,26,187,1,1,0,14,9,3,414,27.69,2.32,37.77,50.04
Lille_50.616602_3.060286,Lille,50.61660206576581,3.060285971936672,44,0,16,1,2,1,13,26,169,1,1,0,14,9,3,353,27.06,1.62,27.01,47.36
Lille_50.616602_3.063837,Lille,50.61660206576581,3.063836674703467,41,0,23,1,3,1,14,25,204,0,2,0,12,5,4,393,24.59,1.51,28.78,47.64
Lille_50.616602_3.067387,Lille,50.61660206576581,3.0673873774702622,43,1,35,1,3,2,19,25,206,0,2,0,8,9,5,420,19.75,3.25,40.42,50.05
Lille_50.616602_3.070938,Lille,50.61660206576581,3.0709380802370574,23,1,28,0,2,1,15,28,166,0,2,0,9,10,6,356,19.31,2.52,28.63,47.39
Lille_50.616602_3.074489,Lille,50.61660206576581,3.0744887830038525,15,1,23,0,1,2,14,30,151,0,2,0,6,9,6,324,13.28,2.22,35.7,48.49
Lille_50.616602_3.078039,Lille,50.61660206576581,3.078039485770648,12,1,15,0,0,2,11,34,98,1,1,0,4,8,7,285,8.62,2.11,32.32,47.55
Lille_50.616602_3.081590,Lille,50.61660206576581,3.081590188537443,7,0,6,0,0,1,5,28,110,1,0,0,2,4,6,257,4.22,1.0,19.55,44.66
Lille_50.616602_3.088692,Lille,50.61660206576581,3.088691594071033,4,0,3,0,0,0,2,13,82,1,0,0,0,0,3,162,0.25,1.0,6.2,41.27
Lille_50.618854_3.024779,Lille,50.61885431801806,3.0247789442687205,16,0,7,0,1,0,5,27,72,0,0,0,9,7,3,200,16.5,1.0,10.09,43.04
Lille_50.618854_3.028330,Lille,50.61885431801806,3.028329647035516,19,0,7,0,1,1,10,28,105,0,0,0,9,6,3,258,16.34,1.0,22.95,45.62
Lille_50.618854_3.031880,Lille,50.61885431801806,3.031880349802311,24,0,7,0,1,1,11,20,124,2,0,0,11,3,2,282,19.11,1.0,23.13,45.48
Lille_50.618854_3.035431,Lille,50.61885431801806,3.035431052569106,22,0,5,0,2,1,12,28,136,2,0,0,12,3,3,300,21.4,1.0,25.45,45.91
Lille_50.618854_3.038982,Lille,50.61885431801806,3.038981755335901,30,0,7,0,2,2,12,36,133,3,0,0,9,7,4,306,17.56,1.11,34.54,48.36
Lille_50.618854_3.042532,Lille,50.61885431801806,3.042532458102696,39,1,7,1,2,1,14,33,180,3,0,0,8,9,3,369,17.18,3.11,29.15,46.81
Lille_50.618854_3.046083,Lille,50.61885431801806,3.0460831608694914,69,1,24,1,3,2,14,35,221,1,0,0,12,12,3,483,25.73,4.21,38.86,49.85
Lille_50.618854_3.049634,Lille,50.61885431801806,3.0496338636362865,79,1,32,1,2,2,16,31,211,2,0,0,12,15,3,486,25.92,4.58,39.35,50.54
Lille_50.618854_3.053185,Lille,50.61885431801806,3.0531845664030817,81,1,31,1,2,1,14,26,181,1,0,0,11,10,3,437,23.42,4.66,28.14,47.9
