point_id,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,total_pois,attractiveness_score,competition_score,accessibility_score,suitability_score,global_score
Strasbourg_48.503197_7.780036,Strasbourg,48.503196961261295,7.780035644830023,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0.0,1.0,0.17,39.63,10.200000000000001
Strasbourg_48.503197_7.783439,Strasbourg,48.503196961261295,7.7834392946385424,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.0,1.0,0.04,39.61,10.1625
Strasbourg_48.503197_7.786843,Strasbourg,48.503196961261295,7.786842944447062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.503197_7.790247,Strasbourg,48.503196961261295,7.790246594255581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.503197_7.793650,Strasbourg,48.503196961261295,7.793650244064101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.505449_7.759614,Strasbourg,48.50544921351355,7.759613745978906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.505449_7.763017,Strasbourg,48.50544921351355,7.763017395787426,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.0,1.0,0.04,39.61,10.1625
Strasbourg_48.505449_7.766421,Strasbourg,48.50544921351355,7.766421045595945,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0.0,1.0,0.21,39.64,10.2125
Strasbourg_48.505449_7.769825,Strasbourg,48.50544921351355,7.769824695404464,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0.0,1.0,0.21,39.64,10.2125
Strasbourg_48.505449_7.773228,Strasbourg,48.50544921351355,7.773228345212984,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0.0,1.0,0.21,39.64,10.2125
Strasbourg_48.505449_7.776632,Strasbourg,48.50544921351355,7.776631995021503,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0.0,1.0,0.17,39.63,10.200000000000001
Strasbourg_48.505449_7.780036,Strasbourg,48.50544921351355,7.780035644830023,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0.0,1.0,0.09,39.62,10.1775
Strasbourg_48.505449_7.783439,Strasbourg,48.50544921351355,7.7834392946385424,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.0,1.0,0.04,39.61,10.1625
Strasbourg_48.505449_7.786843,Strasbourg,48.50544921351355,7.786842944447062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.505449_7.790247,Strasbourg,48.50544921351355,7.790246594255581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.505449_7.793650,Strasbourg,48.50544921351355,7.793650244064101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.505449_7.797054,Strasbourg,48.50544921351355,7.79705389387262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.507701_7.756210,Strasbourg,48.507701465765805,7.756210096170387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.507701_7.759614,Strasbourg,48.507701465765805,7.759613745978906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.507701_7.763017,Strasbourg,48.507701465765805,7.763017395787426,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.0,1.0,0.04,39.61,10.1625
Strasbourg_48.507701_7.766421,Strasbourg,48.507701465765805,7.766421045595945,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0.0,1.0,0.09,39.62,10.1775
Strasbourg_48.507701_7.769825,Strasbourg,48.507701465765805,7.769824695404464,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0.0,1.0,0.09,39.62,10.1775
Strasbourg_48.507701_7.773228,Strasbourg,48.507701465765805,7.773228345212984,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0.0,1.0,0.09,39.62,10.1775
Strasbourg_48.507701_7.776632,Strasbourg,48.507701465765805,7.776631995021503,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.0,1.0,0.04,39.61,10.1625
Strasbourg_48.507701_7.780036,Strasbourg,48.507701465765805,7.780035644830023,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.0,1.0,0.04,39.61,10.1625
Strasbourg_48.507701_7.783439,Strasbourg,48.507701465765805,7.7834392946385424,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.0,1.0,0.04,39.61,10.1625
Strasbourg_48.507701_7.786843,Strasbourg,48.507701465765805,7.786842944447062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.507701_7.790247,Strasbourg,48.507701465765805,7.790246594255581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.507701_7.793650,Strasbourg,48.507701465765805,7.793650244064101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.507701_7.797054,Strasbourg,48.507701465765805,7.79705389387262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.507701_7.800458,Strasbourg,48.507701465765805,7.80045754368114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.509954_7.759614,Strasbourg,48.50995371801806,7.759613745978906,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5,0.09,1.0,0.08,39.75,10.23
Strasbourg_48.509954_7.763017,Strasbourg,48.50995371801806,7.763017395787426,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,9,0.09,1.0,0.2,39.77,10.265
Strasbourg_48.509954_7.766421,Strasbourg,48.50995371801806,7.766421045595945,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,10,0.09,1.0,0.24,39.78,10.2775
Strasbourg_48.509954_7.769825,Strasbourg,48.50995371801806,7.769824695404464,0,0,1,0,0,0,0,3,3,0,0,0,0,0,1,13,0.09,1.0,0.37,39.8,10.315
Strasbourg_48.509954_7.773228,Strasbourg,48.50995371801806,7.773228345212984,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,12,0.0,1.0,0.37,39.77,10.285
Strasbourg_48.509954_7.776632,Strasbourg,48.50995371801806,7.776631995021503,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,6,0.0,1.0,0.16,39.63,10.1975
Strasbourg_48.509954_7.780036,Strasbourg,48.50995371801806,7.780035644830023,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,0.0,1.0,0.16,39.63,10.1975
Strasbourg_48.509954_7.783439,Strasbourg,48.50995371801806,7.7834392946385424,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0.0,1.0,0.09,39.62,10.1775
Strasbourg_48.509954_7.786843,Strasbourg,48.50995371801806,7.786842944447062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.509954_7.790247,Strasbourg,48.50995371801806,7.790246594255581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.509954_7.793650,Strasbourg,48.50995371801806,7.793650244064101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.509954_7.797054,Strasbourg,48.50995371801806,7.79705389387262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.509954_7.800458,Strasbourg,48.50995371801806,7.80045754368114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.512206_7.763017,Strasbourg,48.51220597027032,7.763017395787426,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,7,0.09,1.0,0.16,39.76,10.2525
Strasbourg_48.512206_7.766421,Strasbourg,48.51220597027032,7.766421045595945,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,7,0.09,1.0,0.16,39.76,10.2525
Strasbourg_48.512206_7.769825,Strasbourg,48.51220597027032,7.769824695404464,0,0,1,0,0,0,1,4,2,0,0,0,0,0,1,14,0.09,1.0,0.97,39.92,10.495000000000001
Strasbourg_48.512206_7.773228,Strasbourg,48.51220597027032,7.773228345212984,0,0,0,0,0,0,1,4,3,0,0,0,0,0,1,14,0.0,1.0,1.02,39.9,10.48
Strasbourg_48.512206_7.776632,Strasbourg,48.51220597027032,7.776631995021503,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,10,0.0,1.0,0.86,39.77,10.4075
Strasbourg_48.512206_7.780036,Strasbourg,48.51220597027032,7.780035644830023,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,10,0.0,1.0,0.86,39.77,10.4075
Strasbourg_48.512206_7.783439,Strasbourg,48.51220597027032,7.7834392946385424,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0.0,1.0,0.16,39.63,10.1975
Strasbourg_48.512206_7.786843,Strasbourg,48.51220597027032,7.786842944447062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.512206_7.790247,Strasbourg,48.51220597027032,7.790246594255581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.512206_7.793650,Strasbourg,48.51220597027032,7.793650244064101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.512206_7.797054,Strasbourg,48.51220597027032,7.79705389387262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.512206_7.800458,Strasbourg,48.51220597027032,7.80045754368114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.512206_7.803861,Strasbourg,48.51220597027032,7.803861193489659,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0.0,1.0,0.08,39.62,10.174999999999999
Strasbourg_48.514458_7.766421,Strasbourg,48.51445822252257,7.766421045595945,0,0,1,0,0,0,0,4,4,0,0,0,0,0,1,13,0.09,1.0,0.49,39.83,10.3525
Strasbourg_48.514458_7.769825,Strasbourg,48.51445822252257,7.769824695404464,0,0,1,0,0,0,1,5,5,0,0,0,0,0,1,18,0.09,1.0,1.18,39.97,10.56
Strasbourg_48.514458_7.773228,Strasbourg,48.51445822252257,7.773228345212984,0,0,0,0,0,0,3,5,7,0,0,0,0,0,1,23,0.0,1.0,2.41,40.18,10.8975
Strasbourg_48.514458_7.776632,Strasbourg,48.51445822252257,7.776631995021503,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,21,0.0,1.0,2.34,40.07,10.8525
Strasbourg_48.514458_7.780036,Strasbourg,48.51445822252257,7.780035644830023,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,22,0.0,1.0,2.42,40.08,10.875
