point_id,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,total_pois,attractiveness_score,competition_score,accessibility_score,suitability_score
Toulouse_43.546210_1.406314,Toulouse,43.54621041351355,1.4063136883010323,6,0,1,0,0,0,1,1,3,0,0,0,0,3,1,27,0.36,1.0,0.61,40.03
Toulouse_43.546210_1.418754,Toulouse,43.54621041351355,1.4187542634790398,22,0,4,0,0,0,6,19,36,0,0,0,0,2,1,105,0.47,1.0,5.37,41.26
Toulouse_43.546210_1.421864,Toulouse,43.54621041351355,1.4218644072735416,21,0,4,0,0,0,5,21,32,0,0,0,0,2,1,94,0.47,1.0,5.0,41.17
Toulouse_43.546210_1.424975,Toulouse,43.54621041351355,1.4249745510680434,15,0,3,0,0,0,4,18,32,0,0,0,0,2,0,82,0.4,1.0,4.31,40.86
Toulouse_43.546210_1.428085,Toulouse,43.54621041351355,1.4280846948625452,4,0,1,0,0,0,0,8,2,0,0,0,0,1,0,19,0.17,1.0,0.78,39.89
Toulouse_43.546210_1.431195,Toulouse,43.54621041351355,1.431194838657047,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,8,0.0,1.0,0.24,39.65
Toulouse_43.546210_1.434305,Toulouse,43.54621041351355,1.4343049824515488,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,11,0.07,1.0,0.03,39.81
Toulouse_43.546210_1.437415,Toulouse,43.54621041351355,1.4374151262460506,0,0,1,0,0,0,0,0,1,0,0,0,1,0,6,14,2.34,1.0,0.03,39.91
Toulouse_43.546210_1.440525,Toulouse,43.54621041351355,1.4405252700405524,0,0,1,0,0,0,0,0,1,0,0,0,1,0,6,15,2.34,1.0,0.03,39.91
Toulouse_43.546210_1.443635,Toulouse,43.54621041351355,1.4436354138350542,0,0,1,0,0,0,0,0,4,0,0,0,2,0,6,27,4.61,1.0,0.12,39.93
Toulouse_43.546210_1.446746,Toulouse,43.54621041351355,1.446745557629556,0,0,0,0,0,0,0,3,17,0,0,0,2,0,3,62,4.55,1.0,0.79,39.9
Toulouse_43.546210_1.449856,Toulouse,43.54621041351355,1.4498557014240578,6,0,0,0,1,0,4,8,33,0,0,0,2,0,2,121,5.03,1.0,3.44,40.48
Toulouse_43.546210_1.452966,Toulouse,43.54621041351355,1.4529658452185596,7,0,1,0,1,0,9,12,54,0,0,0,4,2,3,199,9.84,1.0,6.57,41.29
